BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2458818.217454,0.99090,0.01953,1.9354,1.74,-0.87,9.12,19050
2458818.218161,1.02753,0.01931,1.9301,1.20,-1.53,8.44,21474
2458818.219597,0.99748,0.01918,1.9196,1.59,-0.80,8.12,23598
2458818.220314,0.98586,0.01890,1.9145,1.99,-0.86,7.45,24605
2458818.221020,0.99252,0.01885,1.9096,1.83,-0.82,7.74,25949
2458818.221738,1.02359,0.01867,1.9046,1.20,-1.20,7.48,26390
2458818.222444,1.03640,0.01893,1.8998,1.91,-0.54,7.88,24567
2458818.223161,1.01721,0.01877,1.8950,2.00,-0.62,8.38,23236
2458818.223879,0.99403,0.01851,1.8903,1.26,-1.25,7.27,27292
2458818.224585,0.98983,0.01834,1.8857,1.72,0.14,7.48,26932
2458818.225303,1.00524,0.01804,1.8811,1.34,-1.43,7.24,29312
2458818.226009,0.99059,0.01829,1.8767,1.72,-0.92,7.46,27706
2458818.226726,1.01551,0.01840,1.8722,1.39,-0.99,7.46,27645
2458818.227444,1.02493,0.01847,1.8679,1.82,-0.92,7.58,27076
2458818.228150,0.98911,0.01856,1.8637,1.63,-0.53,8.28,23086
2458818.228867,1.02456,0.01830,1.8594,0.75,-1.07,7.21,29491
2458818.229585,0.99311,0.01826,1.8553,2.03,-0.86,7.27,26745
2458818.230291,0.99660,0.01901,1.8513,1.41,-0.87,8.40,20756
2458818.231009,1.03750,0.01816,1.8473,1.90,-0.11,7.43,27788
2458818.231727,1.01512,0.01825,1.8433,1.07,-0.88,7.43,29441
2458818.232433,1.01601,0.01822,1.8395,0.99,-1.07,6.60,31436
2458818.233151,1.03953,0.01861,1.8357,0.78,-1.75,7.83,28029
2458818.233857,0.99644,0.01822,1.8320,0.75,-0.74,6.37,38766
2458818.234574,0.98720,0.01837,1.8283,1.91,-0.20,6.76,32551
2458818.235292,1.02124,0.01913,1.8247,1.18,-0.46,7.16,26521
2458818.235998,0.99078,0.01898,1.8212,1.13,-0.70,7.43,27499
2458818.239574,1.00832,0.01860,1.8044,1.01,-0.41,7.20,28759
2458818.240292,1.01983,0.01855,1.8012,1.52,-1.21,7.08,27857
2458818.240998,1.01637,0.01844,1.7981,1.54,-0.09,7.31,26518
2458818.241716,1.00815,0.01835,1.7951,0.62,-0.90,7.46,27356
2458818.242433,1.03575,0.01822,1.7921,0.79,-0.28,7.27,28795
2458818.243139,1.00092,0.01815,1.7892,1.73,-1.58,6.87,31459
2458818.243857,0.99346,0.01809,1.7863,0.75,-0.65,6.93,30668
2458818.244574,1.03347,0.01796,1.7834,0.69,0.18,7.45,29057
2458818.245281,1.01691,0.01846,1.7807,0.52,-0.70,7.98,25728
2458818.245999,1.00054,0.01853,1.7780,1.64,-1.84,7.16,26195
2458818.246717,0.96908,0.01821,1.7753,1.47,-0.41,7.79,26573
2458818.247434,1.05341,0.01856,1.7727,0.49,-0.38,7.95,22712
2458818.248140,0.99346,0.01768,1.7702,0.59,-0.55,7.04,32265
2458818.248858,1.02272,0.01767,1.7677,1.01,-1.47,6.95,32045
2458818.249564,0.99411,0.01766,1.7653,0.85,-0.75,6.84,32228
2458818.250282,0.97019,0.01770,1.7629,1.02,-0.33,7.21,30276
2458818.250999,0.99308,0.01739,1.7606,1.12,-1.06,6.98,31065
2458818.251705,1.00596,0.01789,1.7584,0.83,-1.47,8.08,24195
2458818.252423,1.02130,0.01760,1.7561,0.92,0.30,7.62,29109
2458818.253140,1.00443,0.01762,1.7540,0.26,-1.08,7.68,30214
2458818.253846,0.99421,0.01766,1.7519,1.45,-0.57,7.42,28182
2458818.254564,1.02572,0.01834,1.7498,0.86,-0.07,8.09,22498
2458818.255282,0.98637,0.01804,1.7478,0.69,-1.09,8.33,22794
2458818.255999,1.01702,0.01833,1.7458,0.44,-1.04,8.66,21028
2458818.256705,1.00130,0.01797,1.7439,1.47,-1.23,8.28,22171
2458818.257423,0.99081,0.01786,1.7421,0.52,-1.20,7.84,23009
2458818.258140,1.02147,0.01763,1.7403,0.75,-0.48,8.22,25446
2458818.258858,1.01866,0.01766,1.7385,1.32,-0.43,7.97,23371
