BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2458818.217814,0.99815,0.00828,1.9327,0.19,-2.48,7.51,30220
2458818.218289,1.00721,0.00813,1.9292,0.01,-0.32,6.89,36162
2458818.219261,1.00085,0.00831,1.9221,0.79,-0.13,7.33,31996
2458818.219747,1.00062,0.00831,1.9186,0.29,-0.47,7.15,34351
2458818.220222,0.99383,0.00840,1.9152,0.70,-0.45,7.04,33873
2458818.220708,0.99514,0.00812,1.9117,-2.28,-5.14,8.97,45897
2458818.221194,1.00224,0.00813,1.9084,0.81,-0.54,6.78,36960
2458818.221680,1.00247,0.00799,1.9050,0.17,-0.70,6.71,39685
2458818.222155,0.99517,0.00831,1.9018,0.17,0.04,6.65,37125
2458818.222641,1.00384,0.00831,1.8985,0.63,-0.24,6.99,33619
2458818.223127,1.00045,0.00816,1.8952,1.04,-0.88,7.17,34519
2458818.223613,1.01509,0.00808,1.8920,0.02,-1.19,6.74,38769
2458818.224087,1.00363,0.00798,1.8889,0.08,-0.18,6.63,40269
2458818.224573,1.00509,0.00785,1.8858,0.65,0.56,6.44,42979
2458818.225060,0.99955,0.00782,1.8827,0.58,-0.17,6.48,44163
2458818.225546,1.00254,0.00780,1.8796,0.30,-1.00,6.49,41928
2458818.226020,1.00930,0.00786,1.8766,0.62,-0.25,6.94,39999
2458818.226506,0.99243,0.00784,1.8736,0.10,-0.19,6.66,41149
2458818.226992,1.00287,0.00788,1.8706,0.06,-0.60,6.65,37921
2458818.227467,1.00766,0.00784,1.8677,0.32,-0.95,6.48,42188
2458818.227953,0.99553,0.00794,1.8648,1.13,0.15,7.18,36788
2458818.228439,1.01219,0.00810,1.8619,-0.07,-1.21,6.96,34994
2458818.228925,0.99553,0.00782,1.8591,-0.32,-0.43,6.20,45543
2458818.229400,0.99780,0.00794,1.8564,0.90,-0.28,6.88,37444
2458818.229886,1.00688,0.00794,1.8536,0.78,-0.37,6.81,37820
2458818.230372,0.99485,0.00819,1.8508,-0.07,-0.65,7.50,29330
2458818.230858,1.00002,0.00783,1.8481,0.46,0.44,6.73,41724
2458818.231333,1.00042,0.00790,1.8455,1.04,-0.48,6.44,41266
2458818.231820,1.02079,0.00797,1.8428,-0.32,-0.61,6.35,44826
2458818.232306,1.00324,0.00794,1.8402,0.11,-0.74,5.90,46799
2458818.232781,1.00264,0.00800,1.8376,1.37,0.00,6.20,41535
2458818.233267,0.99422,0.00798,1.8351,-1.19,-1.79,5.78,51830
2458818.233753,1.01817,0.00805,1.8325,-3.32,-5.46,8.80,56279
2458818.234239,0.99648,0.00799,1.8300,0.25,0.48,5.44,55832
2458818.234713,0.99824,0.00830,1.8276,1.20,-0.29,6.11,43614
2458818.235199,1.01570,0.00848,1.8251,-0.08,-0.63,6.62,36732
2458818.235686,1.00699,0.00834,1.8227,-0.09,0.74,5.97,48249
2458818.236172,1.00175,0.00839,1.8203,0.48,-1.52,6.25,42849
2458818.239551,0.99082,0.00852,1.8045,-3.50,-5.22,10.47,38378
2458818.240037,1.00908,0.00825,1.8023,0.79,-1.16,6.03,41716
2458818.240512,0.99389,0.00816,1.8003,0.17,-0.06,6.04,45297
2458818.240998,1.00370,0.00821,1.7981,0.90,0.23,6.85,36287
2458818.241484,0.99382,0.00809,1.7961,0.77,-0.23,6.32,41401
2458818.241970,1.01342,0.00807,1.7940,-1.22,-0.48,6.06,44323
2458818.242456,1.00124,0.00809,1.7920,0.28,0.17,6.28,43320
2458818.242943,1.01245,0.00797,1.7900,0.90,-1.61,5.78,47350
2458818.243429,1.00539,0.00814,1.7880,0.55,-0.72,6.90,36902
2458818.243915,1.00550,0.00784,1.7861,-0.15,-0.41,5.78,48561
2458818.244401,1.00601,0.00796,1.7841,0.69,1.13,6.20,47273
2458818.244887,1.00897,0.00813,1.7822,-1.04,0.36,6.54,40895
2458818.245362,1.00815,0.00800,1.7804,-0.29,-0.90,6.66,39007
2458818.245849,0.99602,0.00818,1.7786,0.80,-1.05,6.95,35942
2458818.246335,1.01952,0.00810,1.7768,1.15,-0.97,6.22,43479
2458818.246809,1.00047,0.00810,1.7750,0.43,0.17,6.70,37578
2458818.247295,1.01086,0.00830,1.7732,-0.08,0.28,7.31,31784
2458818.247782,1.00583,0.00801,1.7715,-0.45,-0.81,6.57,40099
2458818.248268,0.99759,0.00787,1.7698,0.10,0.18,6.01,48358
2458818.248742,1.00239,0.00786,1.7681,0.10,-0.90,5.81,47947
2458818.249228,0.99860,0.00794,1.7665,0.00,-0.31,6.39,44035
2458818.249714,0.98739,0.00789,1.7648,-2.60,-5.38,9.44,45574
2458818.250200,0.99362,0.00799,1.7632,-2.79,-4.96,9.26,42917
2458818.250675,1.01599,0.00783,1.7617,0.24,-0.52,6.31,47805
2458818.251161,1.00274,0.00794,1.7601,0.72,-0.76,6.53,40811
2458818.251647,1.00451,0.00800,1.7585,-0.26,-0.94,6.71,37673
2458818.252122,0.99975,0.00800,1.7571,0.69,0.11,6.80,37939
2458818.252608,1.00770,0.00784,1.7556,0.23,0.37,6.45,42892
2458818.253094,1.01447,0.00786,1.7541,-0.91,-0.88,6.21,44632
2458818.253580,1.00998,0.00793,1.7527,1.38,0.06,6.46,42244
2458818.254055,0.99206,0.00794,1.7513,-0.03,-0.24,6.52,39983
2458818.254541,1.00716,0.00813,1.7499,0.53,0.67,7.37,31162
2458818.255027,1.00084,0.00847,1.7485,0.45,-0.80,7.48,30893
2458818.255513,1.00028,0.00815,1.7471,-0.08,-0.30,7.24,33803
2458818.255988,1.00570,0.00810,1.7459,-0.11,-0.38,7.45,31076
2458818.256474,1.01309,0.00810,1.7446,1.42,-0.37,7.56,31207
2458818.256960,1.01018,0.00803,1.7433,0.50,-2.12,7.60,33126
2458818.257446,0.99678,0.00800,1.7420,-0.01,-0.12,7.10,32588
2458818.257920,0.99615,0.00783,1.7408,-0.07,-0.10,7.04,36344
2458818.258407,1.01172,0.00789,1.7396,0.13,-0.17,6.86,36878
2458818.258893,1.00703,0.00790,1.7384,1.01,-0.01,6.99,34362
2458818.259380,0.99464,0.00791,1.7373,-0.17,-0.43,7.46,32691
2458818.259854,1.00545,0.00779,1.7362,0.64,-0.14,7.15,36838
2458818.260340,1.00632,0.00802,1.7350,-0.66,-1.57,7.73,29197
2458818.260826,1.00088,0.00786,1.7339,1.35,-0.56,8.11,29422
2458818.261313,1.01090,0.00774,1.7329,-0.02,-0.43,7.09,37819
2458818.261787,1.00375,0.00765,1.7318,-0.30,-0.32,6.30,41590
2458818.262273,0.99161,0.00796,1.7308,1.32,1.96,7.90,30132
2458818.262759,0.99756,0.00768,1.7298,0.23,-0.42,7.03,37040
2458818.263245,1.00152,0.00770,1.7288,0.23,-0.76,6.83,38826
2458818.263720,1.00673,0.00765,1.7279,-0.04,-0.49,6.69,42577
2458818.264206,1.00855,0.00760,1.7270,0.84,-0.41,6.03,46171
2458818.265167,1.00167,0.00774,1.7252,0.64,0.57,7.12,35810
2458818.265653,1.00905,0.00768,1.7243,-0.46,0.28,6.80,38247
2458818.266139,0.99698,0.00782,1.7235,0.45,-0.01,7.17,32002
2458818.266625,1.00701,0.00772,1.7226,0.34,-0.25,7.14,35929
2458818.267100,1.00913,0.00774,1.7218,0.33,-0.30,7.29,35081
2458818.267586,1.00857,0.00760,1.7211,-0.37,-0.51,6.62,39981
2458818.268072,0.99712,0.00777,1.7203,1.30,0.22,6.90,34202
2458818.268558,0.99548,0.00765,1.7196,-0.08,0.02,6.93,36954
2458818.269033,0.99367,0.00766,1.7189,0.73,-0.15,6.73,39920
2458818.269519,0.99695,0.00775,1.7182,-0.88,-0.81,6.44,41692
2458818.270005,0.99686,0.00757,1.7175,0.62,-0.18,6.57,41000
2458818.270491,0.99947,0.00771,1.7169,0.14,0.22,7.27,35368
2458818.270965,1.00043,0.00767,1.7162,0.13,0.02,6.86,42642
2458818.271451,1.00152,0.00757,1.7156,0.18,-0.81,6.24,42408
2458818.271938,1.00993,0.00764,1.7150,0.32,0.38,6.66,40979
2458818.272424,0.99702,0.00764,1.7145,0.83,-0.22,6.89,37416
2458818.272898,1.00207,0.00767,1.7139,0.10,-1.16,6.43,41698
2458818.273385,1.00339,0.00784,1.7134,-0.08,0.67,7.47,31801
2458818.273871,1.00999,0.00783,1.7129,0.92,0.10,7.10,34029
2458818.274358,1.01883,0.00789,1.7124,0.93,0.77,7.31,31511
2458818.274832,1.01246,0.00795,1.7120,-0.74,-0.58,7.74,29993
2458818.275318,0.98913,0.00782,1.7116,-0.17,-1.20,7.31,34555
2458818.275804,0.99679,0.00786,1.7112,0.43,0.17,7.37,32912
2458818.276290,1.00408,0.00789,1.7108,0.36,0.86,7.48,32657
2458818.276765,1.00644,0.00783,1.7104,0.97,-0.65,7.18,35539
2458818.277251,1.00636,0.00798,1.7100,-0.47,-0.60,7.53,31424
2458818.277737,1.00395,0.00828,1.7097,-0.06,0.95,7.86,27147
2458818.278212,0.99477,0.00815,1.7094,0.42,-0.64,8.13,27054
2458818.278698,1.00464,0.00801,1.7091,0.60,-0.74,7.74,29790
2458818.281603,1.00677,0.00812,1.7078,1.21,1.08,7.85,26888
2458818.282089,1.00255,0.00792,1.7077,-0.02,-0.62,7.13,34083
2458818.282564,0.99217,0.00792,1.7076,-0.43,0.24,6.79,34821
2458818.284022,1.00259,0.00801,1.7073,0.28,-1.60,7.39,31307
2458818.284508,1.00000,0.00804,1.7073,0.03,-0.20,7.74,30329
2458818.284994,0.98437,0.00809,1.7073,0.48,0.79,7.13,30582
2458818.285480,1.00877,0.00791,1.7073,-0.34,-0.15,7.23,34000
2458818.285955,0.98029,0.00804,1.7073,0.80,-0.43,7.54,30950
2458818.286928,0.97326,0.00802,1.7075,0.99,0.34,7.87,30503
2458818.287403,0.97542,0.00791,1.7075,-0.08,0.76,7.29,30502
2458818.287889,0.95664,0.00781,1.7076,0.49,-2.09,6.78,34388
2458818.288375,0.96446,0.00791,1.7078,0.52,-0.40,7.28,33495
2458818.288861,0.95844,0.00801,1.7079,0.78,0.47,7.16,32223
2458818.291268,0.94305,0.00780,1.7090,0.09,-0.71,7.09,35202
2458818.291754,0.93838,0.00778,1.7093,-0.49,-1.40,6.98,35833
2458818.292241,0.92732,0.00762,1.7096,0.59,-0.15,6.74,39927
2458818.292727,0.92454,0.00765,1.7099,0.25,0.30,6.80,41082
2458818.293201,0.91867,0.00764,1.7103,0.61,-0.11,7.09,39159
2458818.293687,0.90762,0.00784,1.7106,-0.72,0.14,7.04,34279
