BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2458818.218161,1.00306,0.00282,1.9301,-0.92,-1.22,8.06,31279
2458818.219585,1.00138,0.00285,1.9197,-0.74,-0.68,6.62,38275
2458818.220303,1.00453,0.00293,1.9146,0.05,-0.64,6.82,37670
2458818.221020,1.00387,0.00283,1.9096,-0.23,-0.58,7.22,40205
2458818.221726,1.00182,0.00283,1.9047,-0.96,-0.86,7.11,38262
2458818.222444,1.00850,0.00293,1.8998,-0.36,-0.32,7.05,37382
2458818.223161,1.00079,0.00284,1.8950,0.01,-0.95,7.28,35370
2458818.223867,1.00272,0.00280,1.8904,-0.64,-0.73,6.80,39992
2458818.224585,1.00414,0.00277,1.8857,-0.19,0.21,6.52,41620
2458818.225303,1.00213,0.00274,1.8811,-0.50,-1.24,7.15,42378
2458818.226009,1.00026,0.00276,1.8767,-0.19,-0.37,7.20,40533
2458818.226726,1.00372,0.00276,1.8722,-0.79,-0.42,7.18,39695
2458818.227432,1.00482,0.00277,1.8680,-0.40,-0.66,7.29,39541
2458818.228150,1.00318,0.00280,1.8637,0.05,-0.44,6.94,35550
2458818.228867,1.00148,0.00274,1.8594,-0.89,-1.01,6.70,42209
2458818.229573,1.00045,0.00275,1.8554,-0.02,-0.26,7.13,38674
2458818.230291,0.99919,0.00282,1.8513,-0.17,-0.66,6.95,32199
2458818.231009,1.00304,0.00277,1.8473,0.17,-0.07,7.23,39180
2458818.231716,1.00285,0.00277,1.8434,-0.62,-0.78,7.12,41020
2458818.232433,1.00156,0.00277,1.8395,-0.21,-0.47,7.08,43205
2458818.233139,1.00325,0.00279,1.8357,-0.70,-1.52,8.20,35075
2458818.233857,0.99998,0.00278,1.8320,-0.53,-0.45,6.68,48778
2458818.234574,0.99942,0.00281,1.8283,0.16,0.24,7.40,38923
2458818.235292,1.00499,0.00286,1.8247,-0.60,-0.45,6.98,38876
2458818.235998,0.99913,0.00286,1.8212,-0.12,-0.51,7.78,37127
2458818.239574,0.99738,0.00285,1.8044,-0.60,-0.08,7.22,36193
2458818.240292,1.00226,0.00285,1.8012,0.00,-1.09,6.85,37314
2458818.240998,1.00199,0.00285,1.7981,0.04,0.00,6.76,38885
2458818.241716,1.00434,0.00282,1.7951,-0.86,-0.39,7.69,34837
2458818.242433,0.99855,0.00280,1.7921,-0.61,-0.17,8.24,35955
2458818.243139,1.00558,0.00280,1.7892,0.23,-1.21,7.26,40517
2458818.243857,1.00075,0.00278,1.7863,-0.57,-0.28,7.07,41783
2458818.244574,1.00481,0.00279,1.7834,-0.65,0.45,8.04,34704
2458818.245281,1.00188,0.00285,1.7807,-0.56,-0.47,7.94,33265
2458818.245999,1.00352,0.00287,1.7780,0.36,-1.22,7.31,36871
2458818.246717,1.00400,0.00285,1.7753,0.08,-0.14,7.72,34914
2458818.247423,1.00814,0.00287,1.7728,-0.72,-0.07,7.96,30611
2458818.248140,1.00259,0.00278,1.7702,-0.65,-0.33,7.60,40704
2458818.248846,1.00105,0.00280,1.7678,-0.15,-1.04,8.06,40744
2458818.249564,0.99476,0.00277,1.7653,-0.39,-0.55,7.28,40265
2458818.250282,1.00404,0.00279,1.7629,-0.47,-0.07,7.28,40135
2458818.250999,1.00223,0.00279,1.7606,-0.07,-0.72,6.88,43063
2458818.251705,0.99945,0.00283,1.7584,-0.42,-0.83,7.86,32889
2458818.252423,1.00367,0.00280,1.7561,0.01,0.40,8.01,36063
2458818.253140,0.99833,0.00282,1.7540,-0.79,-0.76,7.79,35749
2458818.253846,1.00035,0.00285,1.7519,0.28,0.02,7.43,37866
2458818.254564,1.00054,0.00294,1.7498,-0.22,0.32,8.35,31063
2458818.255282,1.00302,0.00301,1.7478,-0.54,-0.67,8.35,30323
2458818.255999,1.00117,0.00290,1.7458,-0.38,-0.54,8.84,28054
2458818.256705,1.00386,0.00287,1.7439,0.62,-1.10,8.43,29360
2458818.257423,1.00312,0.00283,1.7421,-0.50,-0.92,7.93,31623
2458818.258140,0.99886,0.00279,1.7403,-0.41,-0.34,8.22,33345
2458818.258846,1.00147,0.00281,1.7385,0.38,-0.19,7.83,31495
2458818.259565,0.99876,0.00280,1.7368,-0.67,-0.42,8.30,33080
2458818.260283,1.00256,0.00283,1.7352,-0.89,-1.15,8.66,27711
2458818.260989,1.00172,0.00283,1.7336,0.37,-0.35,8.75,29119
2458818.261706,1.00375,0.00278,1.7320,-0.83,-0.28,7.67,36014
2458818.262424,1.00400,0.00284,1.7305,0.13,1.30,9.34,27500
2458818.263130,0.99955,0.00277,1.7291,-0.05,-1.00,8.23,34062
2458818.263847,1.00171,0.00276,1.7277,-0.16,-0.28,8.14,37679
2458818.265283,1.00475,0.00281,1.7250,-0.42,0.23,8.75,31259
2458818.266000,0.99682,0.00281,1.7237,-0.17,-0.09,8.85,30202
2458818.266706,0.99537,0.00280,1.7225,-0.13,-0.26,8.48,31571
2458818.267424,1.00432,0.00278,1.7213,-0.50,-1.00,8.11,34068
2458818.268130,1.00687,0.00281,1.7202,0.51,-0.24,8.25,31657
2458818.268847,0.99868,0.00277,1.7191,-0.15,-0.24,7.61,35230
2458818.269565,1.00628,0.00279,1.7181,-0.59,-0.59,8.17,35863
2458818.270271,1.00126,0.00280,1.7171,0.16,-0.30,8.53,32607
2458818.270989,0.99940,0.00275,1.7162,-0.14,0.02,9.24,32318
2458818.271706,1.00245,0.00277,1.7153,-0.11,-0.19,8.11,37331
2458818.272424,1.00214,0.00278,1.7145,0.65,-0.33,8.05,34892
2458818.273131,1.00732,0.00280,1.7137,-0.57,-0.41,8.47,32266
2458818.273848,0.99722,0.00280,1.7129,0.71,0.42,8.64,30510
2458818.274554,1.00593,0.00285,1.7123,-0.17,0.08,9.19,26500
2458818.275272,1.00333,0.00282,1.7116,-0.81,-1.08,8.96,28481
2458818.275990,0.99970,0.00286,1.7110,0.34,0.34,8.83,28534
2458818.276696,0.99930,0.00283,1.7104,0.90,-0.10,8.14,31415
2458818.277413,1.00628,0.00290,1.7099,-0.58,-0.18,9.49,26622
2458818.278131,1.00347,0.00290,1.7095,0.07,-0.14,8.98,25567
2458818.278848,0.99921,0.00292,1.7090,0.06,-0.18,10.04,24204
2458818.281696,1.00061,0.00291,1.7078,0.62,0.87,9.09,26693
2458818.282413,1.00113,0.00287,1.7076,-0.44,-0.12,7.81,31470
2458818.283837,0.99718,0.00294,1.7074,0.14,-1.04,9.18,25399
2458818.284554,0.98948,0.00290,1.7073,0.17,0.20,8.11,29685
2458818.285260,0.98591,0.00290,1.7073,0.02,0.42,8.47,28755
